s,x,m,l,u
1,0.024858146446906204,10.315505525645307,5.277331791050477,19.761243889857806
1,0.1713407812496519,22.63962610060719,4.880968065365443,41.90915566710808
1,0.3142773563544363,34.96419328258391,20.85833402185252,78.91836247071933
1,0.45452759026485934,56.98683179216698,49.93379051004756,95.02144830188846
1,0.601939167658506,99.78942479249521,98.27788335071378,101.6785724653377
1,0.742883875477033,49.64572898546516,30.124313062585284,72.18978118489308
1,0.8873768760285929,19.52677520705819,10.584586252096283,38.79608147005167
1,1.0310570518131121,0.23915805645562394,0,9.433010064289093
2,-0.028321583847117804,10.448147809057694,8.18117060164667,13.092954551037185
2,0.11793774744819974,20.253404820229527,18.742086681955538,23.02415474039854
2,0.2588578918809077,49.832634021182585,40.38667235346267,59.78192179464563
2,0.3944790440823458,59.63923085339903,54.85316677869061,89.23587772793147
2,0.5399054532949545,100.04912677163418,75.61570359585637,109.36869865414974
2,0.6835231040973961,20.056227823170445,10.610266155450532,90.33274455641873
2,0.8259996739768796,7.191936063739757,3.7914702526232302,34.521605730861225
2,0.9709191842276264,1.8840116921716055,0,9.566768865238595
