s,x,m,l,u
1,0.015232065731077132,77.20841385572209,62.38051883293602,96.92818353894968
1,0.14392317481896402,97.10069784692024,81.2025889550158,99.54656075336705
1,0.31626134652453375,96.0569788413211,43.92982334276863,99.26717390603255
1,0.4915293341304946,96.083771399936,93.17930919853039,98.83536716968868
1,0.6677685519862464,95.80497994279294,88.31467363934735,98.40370928089268
1,0.8381766671545557,96.90109328523904,77.48705646531727,98.88850574427494
1,1.0112590765994292,67.57723327139622,47.55187957241063,77.36068489718355
2,-0.012943534682719082,84.84741885948048,41.43364996514488,114.96210589510713
2,0.11559500566861072,85.93713175736859,49.70808515072055,114.21742161316011
2,0.2889130903975965,85.65789375758193,55.84908843280899,114.24376762913144
2,0.4669769311108739,70.24562326189479,36.61515714579867,100.20729501832066
2,0.6385944326055515,100.38650746594496,47.80075267243369,119.34194499090789
2,0.811829410786982,89.86521854541215,59.29193221482672,119.3684398544271
2,0.9859785609915234,72.00648975308671,43.726348744843065,115.11467463166434
