s,x,m,l,u
1,0.025419299662659434,99.66481943010663,97.67706043184732,101.95838750502122
1,0.23727631232263713,99.1413157565103,86.29690260326454,110.15044251610031
1,0.41370180159556336,90.06595627966843,69.88212528669598,100.61636942427552
1,0.5153962775951655,90.034857051534,51.19667238258959,109.91244703412706
1,0.6688558507582592,54.97263699857891,40.752083000384395,74.69732244284435
1,0.8082646198767245,25.113490586004474,10.281750368223474,35.66433566433563
1,0.9155418392601828,20.340622934816864,10.401827943520336,29.820704311130463
1,1.0141955018421958,5.019933741366711,1.9614110410898444,29.332187269185383
2,-0.01977608555743182,99.83154584760511,96.16183692774179,119.2499902814912
2,0.18921072750597068,96.09791073657658,92.12239274005796,119.18692795777415
2,0.36977198218705176,79.83474215716339,64.39051991862368,112.09716781057114
2,0.47989564481225866,76.590056021804,64.96887917517934,119.25042221521527
2,0.6235632804502456,48.25865919133368,36.789954949312566,63.547817222925275
2,0.7716452787484274,32.464138702557456,24.20686169914088,46.68426076702787
2,0.8759378360984282,16.37719908257276,14.542344622641078,18.670767157487344
2,0.976096787708892,7.630973103486993,4.878691413589498,15.887818173179502
