s,x,m,l,u
1,0.03310090889364603,2.757775257422934,0.2389117435860344,5.276638771259701
1,0.1722916065472555,10.045030837063518,7.400224147534695,19.616712189644005
1,0.3158623528332736,26.65163401763203,20.228308357213322,49.44779621812552
1,0.45875528771192875,75.6260807512745,50.185111861252196,90.6133186586045
1,0.6030083194080003,99.91521764904577,98.02607001366805,101.93030846011536
1,0.7450690897865242,99.51949211121472,74.83373487507463,109.7211130423889
1,0.8809781064678417,29.855019942866946,7.184353517796427,49.12454952385422
1,1.0283428070340264,9.181548318110488,0.2395828439892611,12.456070886098548
2,-0.025289300198869435,5.284020875696549,1.1278960778655645,8.306657092300917
2,0.11937533974457915,14.207866638927836,11.94066577634012,15.845127922921854
2,0.2613824220908354,33.20761385777591,25.399136964881297,35.978363722996576
2,0.40703134262583673,53.2144590818899,39.6119250067669,64.67528806984811
2,0.5454659338250274,91.98795598476153,64.90927841047629,109.62022428175476
2,0.6917949027687371,99.65214629093988,72.69963559248096,109.7278240464222
2,0.82726770418789,25.075890270610014,14.118833985419199,57.31801434812658
2,0.9689123923163476,0,0,11.960127688036692
